username,displayname,userId,rawDescription,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location
btsdisband9,bts disband,1402752139496202240,,False,2021-06-09T22:19:25+00:00,1,1,64,11,0,4,
hoseokcaballo,bts disband,1402850500173783043,,False,2021-06-10T04:50:38+00:00,1,1,6,1,0,1,
AntiArm57077956,Anti Army,1402772888760033282,Ensucio búsquedas de los coreanos de #btsdisband,False,2021-06-09T23:41:40+00:00,0,1,70,2,0,2,
kllyrseIf,? #btsdisband,1390079867845332993,no staneo a nadie :P no soy blink asi q no me rompan las bolas,False,2021-05-05T23:04:12+00:00,36,48,238,20,0,20,anti bts 
js_lovesjen,valu🇦🇷/limit,1391829504922996740,#LISA: why? why god chose me as the perfect woman?,False,2021-05-10T18:56:57+00:00,175,182,1211,893,0,57,
bbibimkai,ⁿⁱⁿᵍᵈᵘⁿᵍⁱᵉ🐧♡,1343272692242374656,,False,2020-12-27T19:09:10+00:00,2,29,48,475,0,2,
HASIEEEEL1,HASIEEEEL,1402779335883382784,treasure reyes,False,2021-06-10T00:07:21+00:00,0,5,30,0,0,0,
Foxxyblink,Foxy,1380607351254880257,new animal blink,False,2021-04-09T19:43:49+00:00,25,35,186,528,0,5,
btsdisbandb77,btsdisband,1358431223786438659,,False,2021-02-07T15:06:12+00:00,0,0,38,0,0,0,
namjoonnpornero,namjoon pornero jhope flop,1392725761522642945,bts disband when,False,2021-05-13T06:18:04+00:00,2,1,9,0,0,0,
i95DI0R,angelina 🏛,1384249189786288143,cantando favorite crime con jsoo,False,2021-04-19T20:55:29+00:00,436,355,998,1526,0,103,priv = 💤
fvckarmadas,▫️,1365848900981190660,borra y borro,False,2021-02-28T02:20:04+00:00,52,40,42,12,0,11,
cotteliet,eli ❄️ only txt,1251421034303102976,⌕  𝘄𝘄𝘄.𝘁𝘅𝘁.𝗰𝗼𝗺 ,False,2020-04-18T08:03:33+00:00,13,46,85,810,0,17,
_cscbcykthk_,‹𝟹,1400017650051432450,me la surran tus favs,False,2021-06-02T09:13:26+00:00,1,1,34,36,0,7,
fluttershyluvv,fluttershy eno🖤,1394774219435778054,pene,False,2021-05-18T21:57:50+00:00,6,6,47,24,0,6,
7ejzn,❌🏳️‍🌈,1397974231388991491,"No soy una cuenta de borrá y borro, solo hago esto porque quiero",False,2021-05-27T17:53:40+00:00,6,5,68,137,0,10,nya/arigato
wiiako,!?,1337618372314472448,borras y borro ^^| 김태형 — singularity,False,2020-12-12T04:41:08+00:00,46,48,257,304,0,30,
gsan8KD,.,1390120955444408320,"#自傷行為 #リスカ #アムカ #レグカ
Akgae",False,2021-05-06T01:47:30+00:00,10,10,210,22,1,9,gg
br4sny,u,1401690888028491779,borras y borro 😅,False,2021-06-07T00:02:31+00:00,5,5,9,0,0,0,
jiminputitabt,nnbv,1391933943755247623,َ,False,2021-05-11T01:51:45+00:00,1,1,31,1,0,0,
lovestoh8me,َ­issa,1334180483828244480,"Blackpink this, Blackpink that... stan bp then",False,2020-12-02T17:00:02+00:00,295,145,3578,2056,0,1392,🇲🇽~S!HER
POV_SUPREMAXY,🏳️‍🌈,1088151543076007936,'You should've ended me when you had the chance' - Melanie Martinez 🔪,False,2019-01-23T19:08:39+00:00,157,203,7796,37548,2,1342,
flop08709598,flop,1398938536661897216,bts disband,False,2021-05-30T09:45:25+00:00,0,0,23,2,0,0,
marklee0288,lea,1312900574027960320,,False,2020-10-04T23:41:35+00:00,3,9,95,25,0,37,
lipababysehun,sehun is my husband,1323533916767137792,dua gfriend,False,2020-11-03T07:54:27+00:00,11,29,249,560,0,9,
hwasagirls,Salem,1387870136598732804,"he / fairy / fae / doll ♥︎
mamamoo, oh my girl, nct",False,2021-04-29T20:43:27+00:00,3,29,316,233,1,66,
blackpinkueens,taypink,1388714647726043136,"- cuenta solo para votar, informar de stream - 
staneo al mejor girl group del mundo",False,2021-05-02T04:39:31+00:00,191,429,2919,3053,0,82,
gatiiitoss,🏳️‍🌈⃠,1394036665556013059,dfi eres army   esta es mi main y side:3,False,2021-05-16T21:07:10+00:00,9,19,86,25,0,5,yoongi akgae ❤
littlemxon_,m.,341616055,me quiero ir de mi país ayuda.,False,2011-07-24T17:26:54+00:00,526,1955,8467,1338,2,613,Lima.
Elastone9,Chittaphona✌🏻,1160822428651515904,"Sofi Chittaphon

ULTS:
NCT💗
BLACKPINK💗
-------------
WJSN💗
DREAMCATCHER 💗",False,2019-08-12T07:56:48+00:00,37,176,1191,1025,0,41,"TEN, HAECHAN, JISOO ULTS💗"
sun60693240,–𝐒un,1382116721339854848,jaemin mi esposo emo,False,2021-04-13T23:41:26+00:00,21,23,322,103,0,49,
antiderm_xd,.,1396932736988991489,,False,2021-05-24T20:55:16+00:00,0,0,18,6,0,0,
f3arlsss,ًbts disband,1366942220851494914,,False,2021-03-03T02:43:27+00:00,24,27,140,47,0,5,
iroinlu,.,1107539446772256768,probando ando,False,2019-03-18T07:09:15+00:00,0,14,71,1804,0,32,
wooyoungordo,sam,1392929330142097417,los gatos son los únicos con derechos,False,2021-05-13T19:46:54+00:00,20,21,139,38,0,8,he :3
roseannetetona,ale 🏳️‍🌈⃠,1370021680643473409,hello 👋 finally 😌 introducing ✨ loona 🌙 are ⭐️you 😍 girls 👭 ready 🙈 ? ok 👌 lets 🌚 go 🤩 !,False,2021-03-11T14:40:08+00:00,9,29,7219,442,0,338,si sos varón no me sigas feo
jendrivers,erick,1391255085498372100,sour; track ocho,False,2021-05-09T04:54:04+00:00,528,521,5914,13986,4,545,he/him
qkxnwkdi,ً,1364091521830510601,anti bgs,False,2021-02-23T05:56:09+00:00,24,15,165,24,0,0,priv when 💤
yo00135644,yo,1394850041307803649,"y eso en que afecta en que 
jimin ugly 
yoongi nazi
bts racism
bts disband
namjoon n word
jungkook bully",False,2021-05-19T02:59:07+00:00,1,0,2,0,0,0,
bullyteez,sandy,1387929801369993221,"me re chupa un huevo, armadas chupenme bien la vulva",False,2021-04-30T00:42:06+00:00,19,17,29,4,0,2,
fl0per0s,namjoon pornero,1366412265692536833,candado cuando duermo,False,2021-03-01T15:37:40+00:00,26,26,36,2,0,8,
gowonxpvssy,gowon step on me,1289822063402901504,pretty girls are the reason i live,False,2020-08-02T07:15:33+00:00,43,141,103,162,0,1,oops
clanked98959697,flex,1388232068111474693,"borras y borro asi de fácil, peor si se van a priv",False,2021-04-30T20:41:44+00:00,10,7,232,109,2,19,he/him
prettyIaIisa,s,1254847955842056194,for blackpink & dua lipa,False,2020-04-27T19:00:55+00:00,846,688,18212,1034,5,4500,LS1
theboyzflop_,🐸,1382678921745928198,ateez disband when,False,2021-04-15T12:55:29+00:00,18,13,76,1,1,3,mujer
rosesgvli,Joy⁴ ︎ ︎,1314047381877526528,"⇝ only blackpink

⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀







 stan 블랙 핑크, stan talent ; 



@thecryforlisa",False,2020-10-08T03:38:10+00:00,877,746,33220,45915,4,1700,lisa 
forjnkace,i,1242965037058265089,everything is always about jennierubyjane.,False,2020-03-26T00:02:51+00:00,579,560,16631,36722,4,2713,JNK1
OliviaoutsoldI,b,1383677940014059523,hope he took his bad deal and made a royal flush,False,2021-04-18T07:05:50+00:00,324,346,5178,6984,1,1135,us
namporneroo,namjoon pornero,1210439673526595584,sabian q namjoon es pornero ??,False,2019-12-27T05:58:07+00:00,6,4,35,93,0,5,
prskjn,ً,1389445313266659335,,False,2021-05-04T05:03:01+00:00,87,182,1232,1098,0,81,only bp
jsoogr,luni,1375127606530543625,@PROTECTLIV,False,2021-03-25T16:49:17+00:00,1076,1050,13228,3135,11,2156,mujer
sjekdkxkxksk,BORRA Y BORRO 👺🔪,1384213989731692555,,False,2021-04-19T18:36:18+00:00,1,0,3,1,0,0,
jensaiiki,jen,1381411534178500609,"secrets i have held in my heart, are harder to hide than i thought",False,2021-04-12T00:59:22+00:00,297,342,4284,4934,1,632,"Córdoba, Argentina"
user562084,bts disband,1391017805471010830,borra y borro | mujer,False,2021-05-08T13:11:11+00:00,44,87,248,22,1,31, candado = zzz/inac 
qyioop,.,1390925661276188676,borra :),False,2021-05-08T07:05:04+00:00,4,1,19,7,0,1,
http_bpinks,lyb ☽,1360661097016156173,"cuenta de support dedicada a las pinks y a olivia, en donde no estoy mucho y no suelo tuitear",False,2021-02-13T18:44:28+00:00,239,249,5044,6155,0,112,She/Her
patheticatuna,ATEEZ DISBAND 🤢,1382101357184843779,PLEASE ATEEZ DISBAND 😭 WHAT A TERRIBLE GROUP 🤮 (denuncia la cuenta boluda que tengo 10 más),False,2021-04-13T22:41:48+00:00,33,24,802,57,0,100,
kiqllua,.,1273012192628047872,👩‍🦽 inválidas,False,2020-06-16T21:59:15+00:00,1,0,5,15,0,35,
nominlisa,•,1268358411172937734,"Lisa Manoban, Blackpink is the revolution. Nct, exo, dua lipa",False,2020-06-04T01:46:51+00:00,74,144,5808,39817,0,114,
952Ej5dye65011g,stray kids flop,1388705190694510597,raw,False,2021-05-02T04:01:40+00:00,0,1,43,2,0,0,no
jenhwg,sofi,1353833593299152897,hwang yeji,False,2021-01-25T22:34:37+00:00,247,227,9405,8586,0,1426,
nejiselacome,val lvs abi⚢︎,1366812773414563841,la única mujer d sakura,False,2021-03-02T18:09:03+00:00,409,418,3278,3647,1,249,proshipper | uruguaya
kugzenin,tina,1374151876367761418,inac x tps,False,2021-03-23T00:12:01+00:00,169,140,3055,1198,0,210,mujer
022418s,♡,1376762043437572103,"icon por
@felixsgrl",False,2021-03-30T05:04:32+00:00,22,18,102,30,0,9,
qrrshun,chau,1330314686051528704,,False,2020-11-22T00:59:03+00:00,1236,3095,4520,8713,0,229,
rochaeng_park,-R-,1355122445443756035,,False,2021-01-29T11:56:05+00:00,9,65,1651,65,0,92,
iPHOEVIIE,basti + weeb,1368693548032393218,volvió eidan + estoy enamorado de weeb,False,2021-03-07T22:44:25+00:00,193,136,4901,1727,1,441,
xxiibtshit,xxii,1351844484842020865,Stupid 7,False,2021-01-20T10:50:25+00:00,0,0,103,6,0,22,
r3kis,ً,1385761491408891906,no borro,False,2021-04-24T01:04:41+00:00,1,1,16,15,0,0,
pillsoob,jack,1384881862129111040,kind of problematic for protecting my boys the kings of the industry TXT,False,2021-04-21T14:49:14+00:00,5,25,36,22,0,6,eng/esp
RMsaidTheNWord,bts paved the way for racism | rt 📌 for bp cb,1385510811095949312,olivia and blackpink successful women,False,2021-04-23T08:28:23+00:00,24,30,375,198,0,111,in army’s minds rent free
iFOREDSOO,َ,1196349543668994048,,False,2019-11-18T08:49:18+00:00,1909,1191,28284,29955,22,5038,blackpink & everglow 
rosiegfreal,-,1384901241440976897,me mudé a @jnkspaces,False,2021-04-21T16:06:07+00:00,454,437,4560,1480,2,441,SheHer 
iJENROCK,ً,1250059891517149188,,False,2020-04-14T13:54:53+00:00,323,288,5062,3873,1,1013,
Buse99043026,kingtan kookie🐇🍼,1381319357083623431,,False,2021-04-11T18:53:10+00:00,0,38,17,814,0,10,
Akam251,712178☆,1289321468522831874,,False,2020-07-31T22:06:18+00:00,35,401,3880,8545,0,212,
lsforeverr,sav💎,1383780201717395461,"- ᴏɴʟʏ ғᴏʀ ʙʟᴀᴄᴋᴘɪɴᴋ #ʟɪsᴀ

bitches be like ''Lisa you are blocking the view'' bro SHE is the view",False,2021-04-18T13:51:34+00:00,365,457,3547,6719,1,305,he
Ari_SourCandy,𝙋𝙊𝙇𝙔 〄💛 (𝐓𝐚𝐲𝐥𝐨𝐫'𝐬 𝐕𝐞𝐫𝐬𝐢𝐨𝐧),1029480145902600192,"𝗢𝗹𝗶𝘃𝗶𝗮'𝘀 𝗺𝗼𝘁𝗵𝗲𝗿 

Ari stan since 2016/ tay/ sel/ lg / kp/ dua/ rih/ dc/ bp/ nicki/ bey ||fan account||


#BLACKLIVESMATTER",False,2018-08-14T21:29:28+00:00,572,395,25748,158209,0,4854,
BIackRosez,Gloss -R-,895357932849815553,For @BLACKPINK ||,False,2017-08-09T18:55:41+00:00,161,280,5986,7045,0,540,She/her
ohmypinks,anye,1326352560974929920,#SOSColombiaNosEstanMatando,False,2020-11-11T02:34:38+00:00,1694,1597,12984,5677,1,1188,only blackpink. 
tnkjuli,Julia ʕっ•ᴥ•ʔっ,1197128081867182080,como rompen las pelotas no se cansan de romper las pelotas todo el dia rompiendo las pelotas recibi la confirmacion de mis pelotas rotas de lo rotas que tengo l,False,2019-11-20T12:22:39+00:00,61,44,20664,23377,0,176,
EIMOSICKGIRL,:),952339626533978113,,False,2018-01-14T00:40:35+00:00,2,4,32,2328,0,3,
G0THKlTTY,☹︎,1376280385538129925,⠀⠀ ⠀ ⠀ ⠀⠀ ⠀ borra y borro 🗯️,False,2021-03-28T21:09:54+00:00,2,1,15,6,0,1,☬ 
Sofia26741625,q miras ogr4?,1373531733858123786,ensuciame está,False,2021-03-21T07:07:55+00:00,3,14,245,121,0,158,"Lima, Peru"
jenniefasito,juancho,1365209776636977160,:       ᱖       only blackpink.,False,2021-02-26T07:59:20+00:00,248,406,4809,11923,0,255,
jnksours,diana,3188185210,,False,2015-04-20T19:55:28+00:00,670,498,9369,12499,0,485,priv when 💤
the_sweethunter,Hunter,900520552099663872,,False,2017-08-24T00:50:05+00:00,30,413,487,4499,0,16,
grrrerc,lucas,1219977719527739392,borra y borro #JUNGKOOKCOVID,False,2020-01-22T13:39:03+00:00,22,36,1537,1438,0,101,
matensw,namjoon pornero,1337464928068833283,bts anti,False,2020-12-11T18:31:18+00:00,7,2,27,3,0,16,
qtbreads,ً,1371577657125564416,🌷🍃 . . . https://t.co/gUMnuGNMqS,False,2021-03-15T21:42:57+00:00,12,10,55,6,0,5,
baephyx,ME MUDE,1325491035422781441,pene,False,2020-11-08T17:31:14+00:00,769,979,8772,10772,5,192,ㅤ
jiminteam0,.,1364452110469898240,:),False,2021-02-24T05:48:43+00:00,0,6,18,0,0,3,
erencci,ً,1375162732547346434,o(TヘTo) 🌍🐈 Reki BestBoi ☆ ˚⁎⁺˳ㅤ,False,2021-03-25T19:08:48+00:00,172,198,238,533,1,27,🍜 ‧₊˚〜 ꒱
lokiuvie,🧸,1356363789369712640,bts de@th when?.,False,2021-02-01T22:08:31+00:00,1,1,120,29,0,2,
iRED1989,",",1378193307000508419,,False,2021-04-03T03:51:14+00:00,0,1,12,2,0,0,
swftlivie,Andreina ♡'s estrellita,1178774063747158016,🚗    𝗴𝗲𝘁𝗮𝘄𝗮𝘆 car enthusiast !   (she/him/they),False,2019-09-30T20:52:02+00:00,5026,5253,23173,19938,20,2795,
lthmynk,linsy; luv,1378918341365075970,just for fun,False,2021-04-05T03:52:27+00:00,0,2,2,4,0,1,
saintjxnk,Ry (dying),1373859177152409603,blackpink over morals,False,2021-03-22T04:49:26+00:00,322,285,1198,4793,0,131,Mostly JenSoo
angelpxnkish,meiꕤ,1323972075296452608,❀ 🍒🍴 ❀ bp&bp ❀ she!her ❀,False,2020-11-04T12:55:49+00:00,94,107,420,822,0,93,
seunghosbtch,yahwi 🛐,1230109501841428483,,False,2020-02-19T12:39:11+00:00,4,18,447,1387,0,13,
M7erd4,(◕ᴗ◕✿),1369443665836380169,Que hot Jimin putita,False,2021-03-10T00:23:17+00:00,6,13,194,139,0,5,
FakeCKs,L | Revelacion,1323474439846137857,"ෆStanෆ Selena Gómez, blackpink, Stray kids, Kenia Os

PD:BangChan Best boy ~♪",False,2020-11-03T03:58:08+00:00,214,445,5780,18335,1,1233,
pinksleaveygent,A☆,1336841550764986369,"Blackpink, aespa 
Tw:HATEFUL PERSON
Bu: @_kzi9",False,2020-12-10T01:14:36+00:00,449,158,42625,88826,3,3341,
queenbecl,borra y borro,1374136098486677505,,False,2021-03-22T23:09:21+00:00,6,0,23,0,0,2,
raicesdeflor,Boni.,1244111344800083968,... — (🏴‍☠️) Amor a las cosas pequeñas y al arte abstracto. Soñadora y divagante. Signo de agua bajo ascendente de fuego. «lisztomania»,False,2020-03-29T03:57:21+00:00,59,58,9,154,0,0,
isapphc,jan ! 💌,1346222457477357575,lesbofeminista,False,2021-01-04T22:30:28+00:00,349,371,6268,7957,3,394,ଘ(੭*ˊᵕˋ)੭  19
666kirstein,magalí,1358532699972132868,,False,2021-02-07T21:47:00+00:00,219,210,4445,12836,3,491,"Jean Kirstein (ジャン  キルシュタイン, Jan Kirushutain?) is a graduate of the No. 104 Cycle Recruit Troop, ranking sixth in the top ten."
iLYSANDROB0T,lysandro,1371971019729219584,si te sigo es porque sos lesbiana o perdí mi libreta ...,False,2021-03-16T23:46:07+00:00,113,120,1765,1292,0,197,✒
lovelyestei,aaaaaaa,1354194810542895104,no odio a bts :(,False,2021-01-26T22:29:50+00:00,1,4,7,7,0,1,
chaedrinks,💭,1305904651225780230,tired of antis,False,2020-09-15T16:22:23+00:00,15,3,21,7,0,4,
ChendoKeta,namjoon ugly namjoon racist,1374810975463936001,borras y borro,False,2021-03-24T19:51:01+00:00,6,4,21,0,0,1,
rrodck,mary,1233035029007282182,no me rompas los ovarios,False,2020-02-27T14:24:05+00:00,101,140,7371,8896,0,1001,⚢︎
whore4gowon,•LOONA TEASERS SOON• & OT12,1352055931811491840,probably thinking about that pretty girl gowon,False,2021-01-21T00:50:46+00:00,199,307,12018,17353,2,1050,they/them 18
higucats,val ⚢︎,1326714762743443457,higuchi ichiyo's gf (ɔˆз (ˆ⌣ˆc),False,2020-11-12T02:34:02+00:00,467,489,3304,4931,3,368,abolo | lesbofem
kentaromiau,Kyo ama a yams,1353408355017097220,q me miras salamin,False,2021-01-24T18:24:45+00:00,139,155,865,76,0,17,con yams
whyjnne,mar,1308896716175937536,soy akgae de blackpink,False,2020-09-23T22:31:23+00:00,384,319,6811,17052,1,914,she/her
strokeisuke,ross,1349101894027911172,"""The Outside"" Twenty One Pilots - Scaled and Icy (2021)",False,2021-01-12T21:12:22+00:00,779,955,7808,11113,5,494,él - neurodivergente
faeryzone,me fui,1367776707055415297,ㅤㅤㅤㅤㅤㅤwelcome to my lil garden !  🌿 🍓,False,2021-03-05T09:59:26+00:00,296,455,2659,464,7,196,✿ . . . m/w @iGOTHLEVI
so6yeon,aria,1273029163440582656,ok nobody cares let’s talk about lisa,False,2020-06-16T23:06:25+00:00,52,36,4946,1685,1,605,soyeon&kai
iKAGSB0T,tobi,1372591368070127617,,False,2021-03-18T16:51:04+00:00,83,77,1554,157,0,104,kuroo
lovgirlss,Sofia ⚢︎,1330631110422880256,sin teléfono inac,False,2020-11-22T21:56:03+00:00,216,96,7205,17363,4,563,
DANlAMIGHT,dania,954109021417598977,@rockbellesbo gf/ lesbofem 👒,False,2018-01-18T21:51:32+00:00,374,387,36312,76573,3,366,迷わずにこの愛を 信じ生きてゆく⚢!
iFAIRYMETAL,maruchan ⚢︎,1365305000730234884,⠀ ⠀ ૮₍ ´𖦹 ˕ ×` ₎ა 🪁🔮🧬,False,2021-02-26T14:17:41+00:00,211,264,1981,11354,0,242,
chuusoftly,magdi (๑•́ ᎔ ก̀๑),1085888757440622592,꒰ა ♡ ໒꒱,False,2019-01-17T13:17:09+00:00,208,187,4447,3562,3,927,mujer
heejinslol,ً¹²,1252025606973374464,HASEUL IS BACK,False,2020-04-20T00:05:51+00:00,1321,826,20323,96617,14,3867,
iB0TKAGS,to tobio,1201613449928826880,no maricones por favor,False,2019-12-02T21:25:53+00:00,294,34,684,1545,2,32,nyaa
bokutin777,bokutin,1372633912455827459,si te sigo es porq te amo etc,False,2021-03-18T19:40:09+00:00,62,59,725,149,0,101,
iZen777,zen :P,1371213346964439043,si te sigo es porq te amo !!,False,2021-03-14T21:35:20+00:00,63,65,360,100,0,35,
hxnneybebe_,🦋👽,1371098906180911106,Doy RT a todo sobre mis artistas favoritos :3 y de vez en cuando tuiteo mi opinión,False,2021-03-14T14:00:35+00:00,17,121,1036,1937,0,2,
rosuries,ִֶָ,1346872557849501704,,False,2021-01-06T17:33:45+00:00,417,319,4309,1021,3,687,꒰ఎ ♡ ໒꒱ 
iNyaGojou,ִֶָagus ver fijado DE NUEVO,1365298135644450824,EREN TE AMO.estoy en @GojouPunk,False,2021-02-26T13:50:23+00:00,95,118,937,1289,0,101,NICO CHAN
JiHYUNBOT__T,☹︎,1371280724553297924,si te sigo es pq quiero conocer tu mundo !!,False,2021-03-15T02:03:03+00:00,87,96,900,108,0,102,cie/go
kyuqxi,fran,1308159980034555916,⠀⠀⠀⠀⠀m/w : @crucfijo !,False,2020-09-21T21:43:45+00:00,160,153,3193,5941,0,459,ella she ♥︎ 14
pieckfingzr,lau ⚢︎ KLEE HAVER,1324918396551639041,vivo en un cumple,False,2020-11-07T03:36:34+00:00,461,412,10293,16678,4,1333,pfp by: @X1AO1SM
absurdoxd,Flor ⁿʸᵃ,937522087194972164,monas chinas ligeras de ropa,False,2017-12-04T03:20:58+00:00,429,399,10528,44416,7,503,mujer 
sevnigod,agus lvs agustín,1369512925812072448,@iHugVentii ₍ᐢ. .ᐢ₎,False,2021-03-10T04:58:44+00:00,159,162,2709,588,4,212,
CatTenko,me voy 📌,1354500959456657410,@Iuvmity @Iuvmity @Iuvmity @Iuvmity,False,2021-01-27T18:46:18+00:00,95,125,1701,1684,0,171,nagito's gf
cooffeess_,SooWooZoo⁷ ✨💫,1214355130369359873,que tengan una Sweet night acompañada del mikrokosmos✨,False,2020-01-07T01:17:02+00:00,36,77,1312,1105,0,227,
iFL0W3R,"toni + bh, minuet = ♡",1249531414539718656,"¡ she/he !  nunca tristes siempre cholos

                                                                       sayonara ash lynx......♡",False,2020-04-13T02:54:52+00:00,1208,1442,8204,12562,7,1153,220420
samyddaeng,samy 🧈,782964706663333888,• fan account •,False,2016-10-03T15:25:07+00:00,343,852,37396,74925,1,2817,only bts
bakutired,la baku,1364545779910729730,Still with you// 🔞nsfw & normal. She!!,False,2021-02-24T12:00:52+00:00,279,391,1048,614,2,31,Chile 
Ayluwwh7,ᵇᵘᵗᵗᵉʳᵖʳᵒᵒᶠ🧈Aylu⁷𐤀 🇺🇾,1020091521331343360,OT7 ¿por qué tener un solo bias cuando puedo tener siete?,False,2018-07-19T23:42:25+00:00,203,289,4130,5795,1,382,Noenunconciertodebangtan :(
Yawaka_ibon,SMILE PLEASE!6️⃣5️⃣🎹,1361908843609923584,"I'm with6️⃣5️⃣🎹 #ayuproofs, #flurwin, #LegitFAM and #joshtifiedsquad ✨ || AYU's ANGEL 👼🥀",False,2021-02-17T05:22:38+00:00,49,610,2844,7095,0,227,Bangtan's Thighs🦄
MortG28,-T A R I N ~🧈🏳️‍🌈,1364644158976135168,"나 자신도 날 잘 몰라 그렇다면 누가 알까 🎶..
🖤@hyujinforev44",False,2021-02-24T18:31:59+00:00,386,879,5177,2309,1,472,Butter
lkwonu,ًevelin,1306317782322155520,mingyu thinker,False,2020-09-16T19:43:32+00:00,44,50,4220,3385,1,337,
jjkrepublic,blake,1159147486520496130,"only bangtan !
br; @thrxthweb ! voting acc; @bangjku",False,2019-08-07T17:01:11+00:00,2128,1990,47776,51108,17,6904,i smoke beat
soloist97_,~ jk + lsʳᵉᵗʷᵉᵉᵗ ᵃᶜᶜᵒᵘⁿᵗ,1197318318228746240,~ im not a shipper! lisa and kook stan👑❤,False,2019-11-21T00:58:41+00:00,30,36,2568,3671,1,21,jjk1 and lisa solo when? 💔
134340l724148,;),932699541165543430,"#taehyung: i’m rich ,ha",False,2017-11-20T19:57:54+00:00,107,283,1432,6283,2,561,bangtan
ae_slehc,chels,1125669278504505344,"“disgusting, disgusting, absolutely vile” -harry styles",False,2019-05-07T07:50:44+00:00,44,71,8001,25946,3,714,
MlSSWORTZ,Aynawl Wortz,3633131293,n thas on assa,False,2015-09-21T02:20:19+00:00,145,136,7464,27051,6,1865, orbluvoncelaby
whor3bit,lay,1166806099250601984,#VIVI: cant talk rn im doing hot girl shit,False,2019-08-28T20:13:54+00:00,83,97,597,5402,1,126,they/them les👩‍❤️‍💋‍👩
ETHNlCHlP,heather,1153265490875363328,yeri if you are seeing this my mom turned off the wifi we can’t go on our minecraft realm today 🥺,False,2019-07-22T11:28:14+00:00,14,13,40,19,0,9,fa
jin6ri,adri,1142838551446544386,,False,2019-06-23T16:55:18+00:00,105,80,3130,12039,0,1024,
good4ufad,b,1398034729220415492,strawberry ice cream in Malibu •Livie since 2019• •Blink since 2021•,False,2021-05-27T21:54:06+00:00,202,221,1468,3165,0,290,USA  s/h
Nananinaxx20,Nina,1371262202813018113,,False,2021-03-15T00:49:32+00:00,1,11,289,423,0,41,
baekyatzi13,𝟏𝟑_𝐁𝐒𝐁_𝙔𝙖𝙩𝙯𝙞,1386784844651405317,𝗛𝗼𝘁𝘁𝗲𝗿❤️‍🔥 𝚂𝚠𝚎𝚎𝚝𝚎𝚛🍬 𝘾𝙤𝙤𝙡𝙚𝙧❄️ 𝔹𝕦𝕥𝕥𝕖𝕣🥞 𝘎𝘦𝘵 𝘪𝘵🕺 𝙡𝙚𝙩 𝙞𝙩 𝙧𝙤𝙡𝙡🎶,False,2021-04-26T20:50:59+00:00,358,366,45,690,0,11,
StfKiara,༄ ‧₊˚ ⸙͎┈ 𝒏𝒊𝒂 / 𝐎𝐭𝟔 (𝐆)𝐢-𝐝𝐥𝐞 💜❤️,1308481625454456841,"⇢♡⃕  𝘕𝘦𝘷𝘦𝘳𝘭𝘢𝘯𝘥 ✧¡!
- Baekhyun m vidaa.                                    
- L a   m e j o r   m o m i s ta . 🎀
 🌈࿆ᴵ ˡᵒᵛᵉ ᵗᵒ ᵈᵃⁿᶜᵉ

             k 🧡",False,2020-09-22T19:01:57+00:00,2,42,250,570,0,13,
doyotroll,ᗒ neocutech 𖧷,1352074592462974978,"★ nct, wayv & red velvet  🌱               
                                 ㅠ limpiando búsquedas 🐲",False,2021-01-21T02:04:54+00:00,14,39,225,892,0,48,neo zone
Multistan1200,Sarah,1360587485823135744,"She/her
Army💜
Once🍭
Carat 💎
Exo-l ♥️
Moa❄️
Stay🐺
Engene🍷",False,2021-02-13T13:52:08+00:00,36,103,550,438,0,66,
btssfloperos,jimin putita,1402843630142906370,,False,2021-06-10T04:22:57+00:00,1,1,22,2,0,0,
SaraCho79692607,Sara Chowdhury,1312033624397619200,,False,2020-10-02T14:16:22+00:00,1,36,79,1826,0,0,
gei_blinkoncE17,ᴠᴀʟᴇʀɪᴀ⁷¹²¹⁷⁸🎈🎸⛓️♡,1263908502151376896,"♥︎𝙱𝚕𝚒𝚗𝚔      
♥︎𝙾𝚗𝚌𝚎    
♥︎𝐂𝐡𝐚𝐞𝐲𝐨𝐮𝐧𝐠𝐢𝐬𝐭𝐚",False,2020-05-22T19:04:38+00:00,179,223,455,2365,0,28,"Lima, Peru"
p4rpadea,𝙥𝟰𝙧𝙥𝙖𝙙𝙚𝙤𝙧 | 𝑩𝑷 𝑩𝑩𝑴𝑨𝒔,1386478547376562177,𝗝𝘂𝘀𝘁 𝗳𝗼𝗿 𝘁𝗵𝗲 𝗽𝗶𝗻𝗸𝘀.,False,2021-04-26T00:33:47+00:00,95,115,72,19,1,1,
ktetesly,𝒌𝒐𝒐𝒌,1392849478093262854,,False,2021-05-13T14:29:39+00:00,7,24,34,128,0,4,
thwkvO,♡︎𓏲 ˖. 𝒃𝒂𝒏𝒈𝒕𝒂𝒏◞ 🍶 ⟠ ࣪ .,1389791856888852482,♡̷̸ only army. ૮(ˊ ᵔ ˋ)ა,False,2021-05-05T03:59:46+00:00,2,7,14,100,0,6,
