username,displayname,userId,rawDescription,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location
suqahell,eli,1401928290533888001,seokjin silver vocalist,False,2021-06-07T15:47:34+00:00,276,499,399,283,1,34,he\they
MEL_M00N,𝙽𝚊𝚍𝚒𝚎.,1401705866970152964,𝙱𝚘𝚛𝚛𝚊 𝚢 𝙱𝚘𝚛𝚛𝚘.,False,2021-06-07T01:02:41+00:00,8,24,21,21,1,0,Bᴜʟʟᴇᴘʀᴏᴏғ Bᴏʏs𖦹
atmlegtdt,ley,1401289813010141184,borra y borro (:,False,2021-06-05T21:28:37+00:00,0,0,2,7,0,0,
magicflwrr,☆; Blossom❞ | °,908513432479166465,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ
°𝙍𝘼𝙄𝙎𝙊𝙉 𝘿'Ê𝙏𝙍𝙀 色ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤb e a u t i f u l   r o s y   c h e e k s |♡ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ",False,2017-09-15T02:10:56+00:00,661,736,59300,83422,1,277,° Telepathy ; 19 ♡
Noahpateamelac1,TaehyungMiHombre,1383966147297513478,"BTS PAVED THE WAY 🛐
¿Taehyung mi varón?sí ¿por?",False,2021-04-19T02:10:43+00:00,10,36,70,677,0,0,Venezuela
flowerbyjk,jose,1365402132682268675,mira lo que se avecina a la vuelta de la esquina viene butter rumbeando,False,2021-02-26T20:43:39+00:00,117,113,22295,2866,1,3507,miss rinrin all the tyme
Iamhye5,🧈,1187072576096522240,,False,2019-10-23T18:26:20+00:00,423,434,24800,24724,4,1001,BTS WORLD DOMINATION
tkoovx,ً marixi,837696408551579648,- for #방탄소년단,False,2017-03-03T16:09:22+00:00,3443,1685,23950,59432,21,1458,prod. 정국
vsuglab,valuu #tln,1285260431381209088,"don't bother me, i'm listening to promise by jimin",False,2020-07-20T17:09:14+00:00,1035,692,22751,12755,17,750,she15
mmicaot7,mica ♡⁷ 🇦🇷,1391790747314233345,era @micaaot7 :(,False,2021-05-10T16:22:33+00:00,946,795,680,362,1,34,
tqmguk,♡,1165803506885910530,namkook ♡,False,2019-08-26T01:50:06+00:00,150,158,38225,157357,1,2055,
moonlu_jk2,Venus⁷ 🧈🌸,1351372324386332675,ʙᴛꜱ ᴘᴀᴠᴇᴅ ᴛʜᴇ ᴡᴀʏ,False,2021-01-19T03:34:26+00:00,49,342,2645,3147,0,11,
Y00NGISH4DOW,mar! 🎸,1364097593777807366,"BTS PAVED THE WAY                                                                               
only army",False,2021-02-23T06:20:04+00:00,69,96,4115,2047,2,564,BTSPOP!💿
borras_borro,borras y borro,1402733017261563908,borras y borro,False,2021-06-09T21:03:24+00:00,0,0,8,0,0,0,
fuckkkkitttttt,minthhhhh,1397679590206758913,fuck you,False,2021-05-26T22:22:46+00:00,2,1,14,10,0,0,i'm piscissss
i66669999,A,1397970086758129670,,False,2021-05-27T17:38:17+00:00,2,2,18,0,0,1,
luvisjk,ؘ,1397330959377313794,hey siri play sweet night by v,False,2021-05-25T23:17:25+00:00,39,238,1248,1261,0,166,she/her
XS0RRYB4E,яє∂ кιηg;;⁷🐾,933135960212230145,"BTS LEGENDS࿐      𝙶𝙵¦𝚂𝙼@iY00NGEE☪₊         
               °ᵐᵉᵗᵃˡ °ʳᵒᶜᵏ °ᵇᵗˢᵖᵒᵖ                                                               𖧐@JJeikei97𖧐",False,2017-11-22T00:52:04+00:00,715,417,46085,100376,8,1412,
sukunagf_,ً 🍓,1402113882785648643,acc to protect my boys !!,False,2021-06-08T04:03:09+00:00,5,3,16,0,0,0,
koo_ops,^^,1320135118233677825,jungkook te amo,False,2020-10-24T22:48:42+00:00,0,3,125,28,0,19,
borra_y_borro,cuenta para: borra y borro,1398477782737428486,"para q no me tiren la main, borras y borro",False,2021-05-29T03:14:27+00:00,0,0,38,0,0,1,
aimep3best,leth⁷ | 🧜🏻‍♀️,1197276461134016513,Only looking at BTS!!! ⭐,False,2019-11-20T22:12:40+00:00,696,281,56044,73582,1,1872,
abysstd,valacera,1392000324102238210,keep it cute,False,2021-05-11T06:15:26+00:00,5,13,609,514,0,39,btspop ! 
izzaps,ؘ,1336122454725554177,si borran avisenme y borro,False,2020-12-08T01:36:48+00:00,0,0,18,6,0,4,
cherryjjui,diana⛓,1346690126248865792,,False,2021-01-06T05:28:54+00:00,14,19,155,427,0,47,
rmbicyle,ً buso,1390749072949223424,,False,2021-05-07T19:23:20+00:00,116,108,974,138,0,82,@tetesuqa
saikijimi,pup,1276372925629816832,love maze,False,2020-06-26T04:33:19+00:00,9,44,127,6,1,65,🦷
tetelipa,ً tuti,1251946988544933889,"͏͏͏͏͏͏ ͏͏͏͏͏͏ ͏͏͏͏͏͏ ͏͏͏͏͏͏⠀⠀⠀ ͏͏͏͏͏͏ ͏͏͏͏͏͏ ͏͏͏͏͏͏ ͏͏͏͏͏͏ ͏͏͏͏͏͏⠀⠀⠀#BANGTAN: tuti best bangtanista 🚀

      @vetzirety @xluixxmn",False,2020-04-19T18:53:39+00:00,4978,4373,25877,58768,6,385,s!her :) 
twt_strawberry,ñ,1386100423996674048,Borras y borro,False,2021-04-24T23:31:33+00:00,2,6,11,3,0,0,
Byblackn,Jenn⁷®️,1299193104780591105,,False,2020-08-28T03:52:39+00:00,82,143,2825,633,1,234,Anti kpop
tetepiolin,chuu bully,1402411700024979457,taehyung de mi propiedad estamos en una relación desde hace un año conchuds rompe hogares,False,2021-06-08T23:46:34+00:00,8,16,57,29,0,7, ꪔ̤̮
